"ibgeCode","name","uf","region","rank","population2022","registeredHomicides","hiddenHomicides","estimatedHomicides","homicideRate","year"
"2101202","Bacabal","MA","NE","112","103711","30","1","31","29,9","2022"
"2604106","Caruaru","PE","NE","113","378048","112","1","113","29,9","2022"
"2307304","Juazeiro do Norte","CE","NE","114","286120","77","8","85","29,7","2022"
"3145208","Nova Serrana","MG","SE","115","105552","31","0","31","29,4","2022"
"4314902","Porto Alegre","RS","S","116","1332845","376","10","386","29","2022"
"3306305","Volta Redonda","RJ","SE","117","261563","73","2","75","28,7","2022"
"3205309","Vitória","ES","SE","118","322869","90","2","92","28,5","2022"
"5003702","Dourados","MS","CO","119","243367","46","23","69","28,4","2022"
"4119152","Pinhais","PR","S","120","127019","30","6","36","28,3","2022"
"3202405","Guarapari","ES","SE","121","124656","26","9","35","28,1","2022"
"3201209","Cachoeiro de Itapemirim","ES","SE","122","185786","42","10","52","28","2022"
"2111201","São José de Ribamar","MA","NE","123","244579","66","2","68","27,8","2022"
"2403251","Parnamirim","RN","NE","124","252716","60","10","70","27,7","2022"
"1501709","Bragança","PA","N","125","123082","34","0","34","27,6","2022"
"1302504","Manacapuru","AM","N","126","101883","27","1","28","27,5","2022"
"3201506","Colatina","ES","SE","127","120033","26","7","33","27,5","2022"
"3131703","Itabira","MG","SE","128","113343","29","2","31","27,4","2022"
"4125506","São José dos Pinhais","PR","S","129","329628","79","11","90","27,3","2022"
"5221858","Valparaíso de Goiás","GO","CO","130","198861","51","3","54","27,2","2022"
"2111300","São Luís","MA","NE","131","1037775","280","2","282","27,2","2022"
"5200258","Águas Lindas de Goiás","GO","CO","132","225693","57","4","61","27","2022"
"4119905","Ponta Grossa","PR","S","133","358371","94","2","96","26,8","2022"
"3301009","Campos dos Goytacazes","RJ","SE","134","483540","126","3","129","26,7","2022"
"1501402","Belém","PA","N","135","1303403","339","7","346","26,5","2022"
"4304606","Canoas","RS","S","136","347657","92","0","92","26,5","2022"
"3522208","Itapecerica da Serra","SP","SE","137","158522","6","36","42","26,5","2022"
"1200401","Rio Branco","AC","N","138","364756","93","1","94","25,8","2022"
"4105805","Colombo","PR","S","139","232212","54","6","60","25,8","2022"
"5211909","Jataí","GO","CO","140","105729","27","0","27","25,5","2022"
"4316907","Santa Maria","RS","S","141","271735","68","1","69","25,4","2022"
"4101804","Araucária","PR","S","142","151666","34","4","38","25,1","2022"
"5217609","Planaltina","GO","CO","143","105031","25","1","26","24,8","2022"
"3106705","Betim","MG","SE","144","411846","90","12","102","24,8","2022"
"3156700","Sabará","MG","SE","145","129380","11","21","32","24,7","2022"
"2803500","Lagarto","SE","NE","146","101579","24","1","25","24,6","2022"
"3510500","Caraguatatuba","SP","SE","147","134873","33","0","33","24,5","2022"
"3154606","Ribeirão das Neves","MG","SE","148","329794","30","49","79","24","2022"
"4101408","Apucarana","PR","S","149","130134","31","0","31","23,8","2022"
"1501303","Barcarena","PA","N","150","126650","30","0","30","23,7","2022"
"4104808","Cascavel","PR","S","151","348051","79","3","82","23,6","2022"
"2507507","João Pessoa","PB","NE","152","833932","196","0","196","23,5","2022"
"4127700","Toledo","PR","S","153","150470","34","1","35","23,3","2022"
"3543907","Rio Claro","SP","SE","154","201418","44","3","47","23,3","2022"
"3305208","São Pedro da Aldeia","RJ","SE","155","104029","22","2","24","23,1","2022"
"4126256","Sarandi","PR","S","156","118455","27","0","27","22,8","2022"
"4323002","Viamão","RS","S","157","224112","44","7","51","22,8","2022"
"3171204","Vespasiano","MG","SE","158","129246","28","1","29","22,4","2022"
"1502103","Cametá","PA","N","159","134184","30","0","30","22,4","2022"
"3129806","Ibirité","MG","SE","160","170537","29","9","38","22,3","2022"
"3515004","Embu das Artes","SP","SE","161","250691","23","33","56","22,3","2022"
"5218805","Rio Verde","GO","CO","162","225696","44","6","50","22,2","2022"
"2933307","Vitória da Conquista","BA","NE","163","370879","81","1","82","22,1","2022"
"4320008","Sapucaia do Sul","RS","S","164","132107","29","0","29","22","2022"
"3552809","Taboão da Serra","SP","SE","165","273542","21","39","60","21,9","2022"
"4113700","Londrina","PR","S","166","555965","115","5","120","21,6","2022"
"3169901","Ubá","MG","SE","167","103365","20","2","22","21,3","2022"
"3304557","Rio de Janeiro","RJ","SE","168","6211223","1042","283","1325","21,3","2022"
"2103307","Codó","MA","NE","169","114275","24","0","24","21","2022"
"4106902","Curitiba","PR","S","170","1773718","361","12","373","21","2022"
"3303302","Niterói","RJ","SE","171","481749","88","13","101","21","2022"
"5107909","Sinop","MT","CO","172","196312","40","1","41","20,9","2022"
"4109401","Guarapuava","PR","S","173","182093","37","1","38","20,9","2022"
"4313409","Novo Hamburgo","RS","S","174","227646","46","0","46","20,2","2022"
"3529401","Mauá","SP","SE","175","418261","25","59","84","20,1","2022"
"3305802","Teresópolis","RJ","SE","176","165123","32","1","33","20","2022"
"3548906","São Carlos","SP","SE","177","254857","49","2","51","20","2022"
"5002704","Campo Grande","MS","CO","178","898100","170","8","178","19,8","2022"
"2610707","Paulista","PE","NE","179","342167","62","5","67","19,6","2022"
"3547809","Santo André","SP","SE","180","748919","35","109","144","19,2","2022"
"5201108","Anápolis","GO","CO","181","398869","75","1","76","19,1","2022"
"3119401","Coronel Fabriciano","MG","SE","182","104736","20","0","20","19,1","2022"
"3302700","Maricá","RJ","SE","183","197277","31","6","37","18,8","2022"
"3103504","Araguari","MG","SE","184","117808","22","0","22","18,7","2022"
